('fs1a5', 0.4440671259737749)
('fs1a3b', 0.4334480356928588)
('fs1a3a', 0.3856300325661301)
('fs1a4b', 0.33052345611228273)
('fs1a4a', 0.31783518005844763)
('fs1a1', 0.3128459524092334)
('fs1a6b', 0.2744259457515664)
('fs1a6a', 0.22088532125040947)
('age', 0.18509135516487202)
('fs1c1y', 0.168696150093622)
('fs1b5', 0.1685127375689386)
('fs1c1z', 0.16633071228385957)
('fs1b3', 0.1326324942933553)
('fs1b2', 0.12372423191111938)
('fs1b9', 0.11740189322873747)
('fs1b1', 0.11152480411768483)
('fs1b10', 0.10900167573513007)
('fs1b14', 0.10821280771831068)
('fs1b8', 0.10811010231697439)
('fs1b13', 0.10498093557821932)
('fs1b22', 0.10270246903132711)
('fs1c1f2', 0.09900486832261723)
('fs1b4', 0.09899753414712575)
('fs1b7', 0.09650525983791486)
('fs1q2', 0.0948231782289782)
('fs1b6', 0.0930086864893209)
('fs1b15', 0.08931202068820458)
('fs1c1f1', 0.08663495282331515)
('fs1b18', 0.07239413060162711)
('fs1b19', 0.07091141820720033)
('fs1b20', 0.06700785874464364)
('fs1b17', 0.0579387141810526)
('fs1c2y', 0.05789082001391069)
('fs1c1d27', 0.046913505431798126)
('fs1b12', 0.04613036542140005)
('fs1b21', 0.0439583030419715)
('fs1b16', 0.0336500119973944)
('fs1c1d14', 0.03329218300553456)
('fs1c1d19', 0.033287647521683505)
('fs1c1d29', 0.028236585179427922)
('fs1c1d21', 0.01500872485945242)
('fs1b11', 0.013944371518018781)
('fs1c1d24', 0.012863448333799953)
('fs1q6', 0.009824350800240746)
('fs1c1d17', 0.0010127597148076874)
('fs1c1d12', 0.00040701626737498094)
('fs1c1d13', 0.0003412038313960772)
('fs1c1d23', 0.0003412038313960772)
('fs1c1d10', 0.0002625898472807884)
('fs1c1d11', 0.0002625898472807884)
('fs1c1d22', -0.010439396039363745)
('fs1c1d16', -0.011150242992000315)
('fs1c1d20', -0.01597971277038295)
('fs1c1d18', -0.01663086409807624)
('fs1c1d25', -0.018578231695115778)
('fs1c1d26', -0.019239091343517915)
('fs1c1d28', -0.027733714149209873)
('fs1c1d15', -0.03441681501140891)
('fs1q5', -0.05954682379191323)
('fs1a6c', -0.22186347754817579)
('fs1a2a', -0.3002311986092569)
('fs1a7', -0.3517135683183169)
('fs1a2b', -0.35793710750758295)
('fs1c6a1', nan)
('fs1c6a2', nan)
('fs1c6b1', nan)
('fs1c6b2', nan)
('fs1c6c1', nan)
('WOMAC', 1.0)
('fs1d2y', 0.35031681648602203)
('fs1d2z', 0.3406981286378278)
('fs1d1y', 0.28892890790966425)
('fs1d1a1', 0.28362228415569485)
('fs1e1', 0.280848582620634)
('fs1d1z', 0.26414514429052444)
('fs1d1a2', 0.263456701474203)
('fs1e3', 0.19446366247966745)
('fs1d3', 0.18298330621088726)
('fs1e4', 0.1806480997956254)
('fs1c7', 0.18049896535175455)
('fs1e5', 0.17104917883943435)
('fs1e8', 0.1683153080950352)
('fs1c8', 0.16617019437854913)
('fs1e7', 0.1640949407997253)
('fs1e9', 0.1616602649038295)
('fs1e2', 0.15933863959661124)
('fs1c5b', 0.12739824702532987)
('fs1c309', 0.11596567082131402)
('fs1c301', 0.1119301013380345)
('fs1c303', 0.10683344889505518)
('fs1ct2', 0.10262742982912773)
('fs1c307', 0.09666860728543634)
('fs1c308', 0.09455338500555695)
('fs1e10', 0.085149884938611)
('fs1c306', 0.08224187283462318)
('fs1c302', 0.0770150133458244)
('fs1c2a', 0.07102070023110399)
('fs1c6c2', 0.06233824961764593)
('fs1c5a', 0.06055795147997352)
('fs1c304', 0.03739243093390928)
('fs1c305', 0.030205021047358692)
('fs1ct7y2', 0.028463797958839316)
('fs1c4', 0.026794521966140458)
('fs1ct7z2', 0.00558953997765115)
('fs1ct3b', -0.05929303106183765)
('fs1ct1', -0.06559458525697545)
('fs1ct3a', -0.0856269161739794)
('fs1ct6y5', -0.08576218571466003)
('fs1ct7z1', -0.08662216162524365)
('fs1ct6z6', -0.09411314397832647)
('fs1ct6y6', -0.09588201671149095)
('fs1ct6z5', -0.09709796058480996)
('fs1ct7y1', -0.09870489557878799)
('fs1ct6y3', -0.11298019703243367)
('fs1ct6y2', -0.12096112024164232)
('fs1ct6z3', -0.1218591313486118)
('fs1c2b', -0.12869502498537788)
('fs1ct6z2', -0.13605784128849985)
('fs1ct6y1', -0.13819815800870644)
('fs1ct6y4', -0.14029254266692273)
('fs1ct6z1', -0.1434709662974789)
('fs1ct6z4', -0.1597570960514368)
('fs1ct4b', -0.18286449415611095)
('fs1ct4a', -0.19005116693587235)
('fs1ct5b', -0.2720019776128186)
('fs1ct5a', -0.28804400628481985)
