,label
label,1.0
slope,0.6369010370267163
WOMAC_03,0.3842930825143155
WOMAC_02,0.2858882131335561
fs2a7,0.16162230808420042
fs1ct6z6,0.15530785179208836
fs1ct6z1,0.1433797117215633
fs1ct6z5,0.13947983138923298
fs1ct6z4,0.13739837913033287
fs1ct6z3,0.13539747286387377
fs1ct6z2,0.12971873008913432
fs2a8,0.1169707813607843
fs1ct6y4,0.10862162590922067
fs1ct6y6,0.09765503335051555
fs1ct7y1,0.09521842413956919
fs1ct6y5,0.09470680798257523
fs1c2b,0.0912457953688086
fs1ct6y3,0.0908799927224464
fs1ct7z1,0.08571771511863782
fs1ct6y2,0.0849634920224772
fs1c6b1,0.08379605262178794
fs1c6c2,0.08267897959053863
fs1ct4a,0.08242324965294599
fs1q4,0.07757381106276419
fs1ct4b,0.07612998262817063
fs1c2a,0.07378460382416749
fs1ct3b,0.0700406317101579
WOMAC_00,0.06399391016940512
fs1ct3a,0.06322698269965978
WOMAC_01,0.056311872593448276
fs1ct1,0.0513302273429603
fs1c6b2,0.05084238979655587
fs1c5a,0.044932749138977955
fs1e10,0.04053826403081694
fs1ct5a,0.03543706707740446
fs1c306,0.03349317491687344
fs1e1,0.032811298981255455
fs1d3,0.03267433529861519
fs1q2,0.03107109711940093
fs1c307,0.029388900219576623
fs1ct5b,0.028312686295770374
fs1c6a2,0.02812962966734168
fs1ct2,0.024698895210460196
fs2c10,0.023624012944378804
fs1c303,0.023044351506567647
fs2c1,0.020656310438407082
fs1c2y,0.016213870900241303
fs1c302,0.01483356516783596
fs1c6a1,0.014399123712240636
fs1c301,0.014387825610379913
fs2b3,0.011809894377361758
fs1c5b,0.011439713793344884
fs1c309,0.008532793508656314
fs1c305,0.00601063133334816
fs1c308,0.004351212497914078
fs1c304,0.00212592362454369
fs1c6c1,0.0012122955079861282
