('fs1a3b', 0.411442285382844)
('fs1a5', 0.39690019213362654)
('fs1a3a', 0.36609730430070925)
('fs1a4b', 0.3137315481169813)
('fs1a4a', 0.3017363607731314)
('fs1a1', 0.2759088877922745)
('fs1a6b', 0.2418913556790061)
('fs1a6a', 0.1962377579685407)
('fs1c1y', 0.15774653733612806)
('fs1b5', 0.15736664558900085)
('fs1c1z', 0.15598920912703998)
('age', 0.1450863307741599)
('fs1b3', 0.12396930480630046)
('fs1b2', 0.11701596168286753)
('fs1b9', 0.10944849925442524)
('fs1b1', 0.10493862231123563)
('fs1b14', 0.10208660298976416)
('fs1b10', 0.10183390956795568)
('fs1b8', 0.10157167305379029)
('fs1b13', 0.09941516143068961)
('fs1b22', 0.09652826874859695)
('fs1b4', 0.09250100864656632)
('fs1c1f2', 0.09181486426464028)
('fs1b7', 0.09109320660668158)
('fs1q2', 0.09002024480264405)
('fs1b6', 0.0881705866869813)
('fs1b15', 0.08427806278827919)
('fs1c1f1', 0.08021002284014936)
('fs1b18', 0.06850397931473526)
('fs1b19', 0.06731381403248062)
('fs1b20', 0.06302420447321007)
('fs1b17', 0.05498096224375896)
('fs1c2y', 0.04678700286330805)
('fs1c1d27', 0.04453726738965209)
('fs1b12', 0.04375536993870201)
('fs1b21', 0.041231869950060444)
('fs1b16', 0.03194558940328396)
('fs1c1d14', 0.031605884976092964)
('fs1c1d19', 0.031601579221168935)
('fs1c1d29', 0.026806360614751175)
('fs1c1d21', 0.014248510873162654)
('fs1b11', 0.012976715562084839)
('fs1c1d24', 0.012211895758424986)
('fs1q6', 0.009325617870817234)
('fs1c1d17', 0.0009614619458661274)
('fs1c1d12', 0.00038640029486542793)
('fs1c1d13', 0.00032392135555406115)
('fs1c1d23', 0.00032392135555406115)
('fs1c1d10', 0.0002492892853456533)
('fs1c1d11', 0.0002492892853456533)
('fs1c1d22', -0.009910625277566207)
('fs1c1d16', -0.010585466786664685)
('fs1c1d20', -0.015170316818448529)
('fs1c1d18', -0.015788486373796793)
('fs1c1d25', -0.01763721693820497)
('fs1c1d26', -0.01826460307354091)
('fs1c1d28', -0.026328960741746787)
('fs1c1d15', -0.03267355271696139)
('fs1q5', -0.05280014309609131)
('fs1a6c', -0.19618694603710865)
('fs1a2a', -0.2811140562236812)
('fs1a7', -0.3075532553061458)
('fs1a2b', -0.3300179141990663)
('fs1c6a1', nan)
('fs1c6a2', nan)
('fs1c6b1', nan)
('fs1c6b2', nan)
('fs1c6c1', nan)
('WOMAC', 1.0)
('fs1d2y', 0.3303662495208907)
('fs1d2z', 0.32112030863306124)
('fs1d1y', 0.2726805991296438)
('fs1d1a1', 0.26362285428346244)
('fs1e1', 0.2608047822831875)
('fs1d1z', 0.24873096205476364)
('fs1d1a2', 0.24556957390195028)
('fs1e3', 0.1801782941960446)
('fs1d3', 0.17299432582684848)
('fs1e4', 0.1709171571268742)
('fs1e5', 0.16206730482807932)
('fs1c7', 0.16057147839496846)
('fs1e8', 0.15971434294061757)
('fs1e7', 0.15517764500627831)
('fs1c8', 0.1549221791610659)
('fs1e9', 0.15279786552396238)
('fs1e2', 0.1488813635373899)
('fs1c5b', 0.11486716821433024)
('fs1c309', 0.11009183905256678)
('fs1c301', 0.10626067709841196)
('fs1c303', 0.10142217759691795)
('fs1c307', 0.09177220016346432)
('fs1c308', 0.08976411700275289)
('fs1e10', 0.0804876569190595)
('fs1ct2', 0.08034899436238804)
('fs1c306', 0.07807620102885553)
('fs1c302', 0.07311408965989813)
('fs1c2a', 0.06215461646314034)
('fs1c6c2', 0.05918072559852109)
('fs1c5a', 0.05381408597593507)
('fs1c304', 0.035498449316981366)
('fs1c305', 0.028675092311146486)
('fs1ct7y2', 0.026100847117551167)
('fs1c4', 0.025437340023946372)
('fs1ct7z2', 0.005111097190732612)
('fs1ct1', -0.051864570278389234)
('fs1ct3b', -0.05605237199508885)
('fs1ct7z1', -0.07205442071792041)
('fs1ct3a', -0.08090915533445306)
('fs1ct6y5', -0.08138357694944565)
('fs1ct7y1', -0.08219973331020798)
('fs1ct6z6', -0.08930241580311504)
('fs1ct6y6', -0.09090853125766511)
('fs1ct6z5', -0.09217262524302543)
('fs1ct6y3', -0.10721163247242145)
('fs1ct6y2', -0.11463552082786976)
('fs1ct6z3', -0.11561792471896686)
('fs1c2b', -0.12217643270815463)
('fs1ct6z2', -0.12906089900740628)
('fs1ct6y1', -0.13084681722273334)
('fs1ct6y4', -0.13306287367939743)
('fs1ct6z1', -0.1344352886454753)
('fs1ct6z4', -0.1515985674149505)
('fs1ct4b', -0.1730161365658219)
('fs1ct4a', -0.1797053801754988)
('fs1ct5b', -0.2573931377629746)
('fs1ct5a', -0.27214759907092234)
